date,state,district,total_bio_updates,avg_updates,std_updates,upper_threshold,early_warning,severity_score
2025-03-31,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,209,223.88888888888889,63.307670239167,350.5042293672229,0,-0.235183017044236
2025-03-31,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,279,201.22222222222223,76.64655533319448,354.51533288861117,0,1.01475894695679
2025-03-31,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,817,709.2222222222222,200.36016181977007,1109.9425458617623,0,0.5379201973031303
2025-03-31,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,1398,1124.4444444444443,261.0196884868607,1646.4838214181657,0,1.048026519154037
2025-03-31,ANDHRA PRADESH,ADILABAD,5263,5782.0,1564.5803750526848,8911.16075010537,0,-0.3317183369262979
2025-03-31,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,1993,2067.4444444444443,399.9872220181262,2867.4188884806968,0,-0.18611705661205033
2025-03-31,ANDHRA PRADESH,ANAKAPALLI,452,747.0,258.4284233593511,1263.8568467187022,0,-1.141515303019882
2025-03-31,ANDHRA PRADESH,ANANTAPUR,9862,10396.111111111111,2223.1162500218275,14842.343611154767,0,-0.24025334307455457
2025-03-31,ANDHRA PRADESH,ANANTHAPUR,13937,9348.0,4860.1401728756755,19068.28034575135,0,0.9442114500341159
2025-03-31,ANDHRA PRADESH,ANANTHAPURAMU,16150,12178.0,6958.661958307789,26095.323916615576,0,0.5707993898536656
2025-03-31,ANDHRA PRADESH,ANNAMAYYA,505,1079.111111111111,436.55367494858075,1952.2184610082727,0,-1.3150985641770911
2025-03-31,ANDHRA PRADESH,BAPATLA,245,664.6666666666666,370.56342237193354,1405.7935114105337,0,-1.132509690191301
2025-03-31,ANDHRA PRADESH,CHITTOOR,28187,27937.555555555555,9477.515103009744,46892.58576157504,0,0.026319604003081986
2025-03-31,ANDHRA PRADESH,CUDDAPAH,16821,18977.333333333332,6009.327416608284,30995.988166549898,0,-0.35883106108909363
2025-03-31,ANDHRA PRADESH,DR. B. R. AMBEDKAR KONASEEMA,297,811.7777777777778,351.249120204513,1514.2760181868039,0,-1.4655631805655516
2025-03-31,ANDHRA PRADESH,EAST GODAVARI,29798,33538.88888888889,10472.787969834542,54484.464828557975,0,-0.35720086185875416
2025-03-31,ANDHRA PRADESH,ELURU,479,914.4444444444445,404.64061558100883,1723.7256756064621,0,-1.0761263888925374
2025-03-31,ANDHRA PRADESH,GUNTUR,31259,32410.444444444445,11073.782406105776,54558.009256656,0,-0.10397932722694377
2025-03-31,ANDHRA PRADESH,HYDERABAD,12006,11749.333333333334,2008.3694879179975,15766.072309169329,0,0.1277985292102515
2025-03-31,ANDHRA PRADESH,K.V. RANGAREDDY,17,67.33333333333333,34.500241545048155,136.33381642342965,0,-1.4589269836737624
2025-03-31,ANDHRA PRADESH,KAKINADA,520,1299.7777777777778,499.8579242589282,2299.4936262956344,0,-1.5599988315356788
2025-03-31,ANDHRA PRADESH,KARIM NAGAR,143,188.55555555555554,102.87262890476639,394.3008133650883,0,-0.44283456192927934
2025-03-31,ANDHRA PRADESH,KARIMNAGAR,1419,1903.0,707.8350796619225,3318.670159323845,0,-0.6837750966385687
2025-03-31,ANDHRA PRADESH,KHAMMAM,3925,4550.888888888889,999.2295087271548,6549.347906343199,0,-0.6263715026652512
2025-03-31,ANDHRA PRADESH,KRISHNA,26703,25916.333333333332,6987.367279598232,39891.0678925298,0,0.1125841300719347
2025-03-31,ANDHRA PRADESH,KURNOOL,38238,38959.22222222222,14624.405823637571,68208.03386949736,0,-0.04931634357797295
2025-03-31,ANDHRA PRADESH,MAHABUB NAGAR,314,1539.111111111111,1536.0430856949004,4611.197282500912,0,-0.7975760071579472
2025-03-31,ANDHRA PRADESH,MAHBUBNAGAR,1388,1637.6666666666667,545.3957278893922,2728.4581224454514,0,-0.45777158474057544
2025-03-31,ANDHRA PRADESH,MEDAK,1909,2493.8888888888887,768.4363090791006,4030.76150704709,0,-0.7611416612911271
2025-03-31,ANDHRA PRADESH,N. T. R,1120,1506.5555555555557,409.54734497708296,2325.6502455097216,0,-0.9438604847436776
2025-03-31,ANDHRA PRADESH,NALGONDA,1893,3628.1111111111113,1488.3829685639078,6604.877048238926,0,-1.1657692594972808
2025-03-31,ANDHRA PRADESH,NANDYAL,563,1182.2222222222222,474.37400270719354,2130.9702276366093,0,-1.3053460322201424
2025-03-31,ANDHRA PRADESH,NELLORE,11353,17608.555555555555,6480.515934536214,30569.587424627985,0,-0.9652866559926514
2025-03-31,ANDHRA PRADESH,NIZAMABAD,910,1219.888888888889,313.0912185148461,1846.0713259185811,0,-0.9897718957396905
2025-03-31,ANDHRA PRADESH,PALNADU,604,1117.0,550.0477252020955,2217.095450404191,0,-0.9326463441177151
2025-03-31,ANDHRA PRADESH,PARVATHIPURAM MANYAM,849,1181.111111111111,468.42113649056347,2117.953384092238,0,-0.7090011215106677
2025-03-31,ANDHRA PRADESH,PRAKASAM,19233,23588.777777777777,8722.84693746511,41034.471652708,0,-0.49935276968686343
2025-03-31,ANDHRA PRADESH,RANGAREDDI,6250,6066.111111111111,973.0045534894023,8012.120218089916,0,0.18899077936421144
2025-03-31,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,282,1126.111111111111,555.9438920530661,2237.9988952172434,0,-1.5183386726201118
2025-03-31,ANDHRA PRADESH,SRI SATHYA SAI,1201,1157.2222222222222,451.92056209520325,2061.0633464126286,0,0.09687051541716626
2025-03-31,ANDHRA PRADESH,SRIKAKULAM,29981,21400.777777777777,8379.419606657997,38159.616991093775,0,1.0239637856785062
2025-03-31,ANDHRA PRADESH,TIRUPATI,650,1155.3333333333333,415.55986331694737,1986.453059967228,0,-1.2160301750506537
2025-03-31,ANDHRA PRADESH,VISAKHAPATNAM,36993,34589.22222222222,12591.413272323502,59772.04876686922,0,0.19090611401512758
2025-03-31,ANDHRA PRADESH,VIZIANAGARAM,18439,17777.555555555555,5731.4202670697405,29240.396089695038,0,0.11540672531812379
2025-03-31,ANDHRA PRADESH,WARANGAL,5249,5750.888888888889,938.3399496510374,7627.5687881909635,0,-0.5348689343084433
2025-03-31,ANDHRA PRADESH,WEST GODAVARI,25336,24490.444444444445,7195.599264674054,38881.64297379255,0,0.11751009533100461
